"Step","Train-r1-l1 - train_loss","Train-r1-l1 - train_loss__MIN","Train-r1-l1 - train_loss__MAX","Train-r1-bottleneck - train_loss","Train-r1-bottleneck - train_loss__MIN","Train-r1-bottleneck - train_loss__MAX","Train-r1-standard - train_loss","Train-r1-standard - train_loss__MIN","Train-r1-standard - train_loss__MAX","Train-charge-l1 - train_loss","Train-charge-l1 - train_loss__MIN","Train-charge-l1 - train_loss__MAX","Train-charge-bottleneck - train_loss","Train-charge-bottleneck - train_loss__MIN","Train-charge-bottleneck - train_loss__MAX","Train-charge-standard - train_loss","Train-charge-standard - train_loss__MIN","Train-charge-standard - train_loss__MAX","Train-spring-l1 - train_loss","Train-spring-l1 - train_loss__MIN","Train-spring-l1 - train_loss__MAX","Train-spring-bottleneck - train_loss","Train-spring-bottleneck - train_loss__MIN","Train-spring-bottleneck - train_loss__MAX","Train-spring-standard - train_loss","Train-spring-standard - train_loss__MIN","Train-spring-standard - train_loss__MAX","Train-r2-l1 - train_loss","Train-r2-l1 - train_loss__MIN","Train-r2-l1 - train_loss__MAX","Train-r2-bottleneck - train_loss","Train-r2-bottleneck - train_loss__MIN","Train-r2-bottleneck - train_loss__MAX","Train-r2-standard - train_loss","Train-r2-standard - train_loss__MIN","Train-r2-standard - train_loss__MAX"
"0","17.711968079902316","17.711968079902316","17.711968079902316","9.78427212558129","9.78427212558129","9.78427212558129","10.800267848354911","10.800267848354911","10.800267848354911","78.9110446011657","78.9110446011657","78.9110446011657","73.62036203245567","73.62036203245567","73.62036203245567","69.93286269524265","69.93286269524265","69.93286269524265","11.213178410689999","11.213178410689999","11.213178410689999","9.446767111546412","9.446767111546412","9.446767111546412","8.274900590491505","8.274900590491505","8.274900590491505","168.72631062418844","168.72631062418844","168.72631062418844","156.03685235558075","156.03685235558075","156.03685235558075","150.42190657598653","150.42190657598653","150.42190657598653"
"1","7.498117707880175","7.498117707880175","7.498117707880175","5.411694225602533","5.411694225602533","5.411694225602533","6.274223848306357","6.274223848306357","6.274223848306357","71.4062564903604","71.4062564903604","71.4062564903604","64.15628209800909","64.15628209800909","64.15628209800909","59.20113586225916","59.20113586225916","59.20113586225916","5.113282206359806","5.113282206359806","5.113282206359806","4.033806182833822","4.033806182833822","4.033806182833822","3.7365822857257722","3.7365822857257722","3.7365822857257722","137.08090321258206","137.08090321258206","137.08090321258206","138.2631928044096","138.2631928044096","138.2631928044096","134.31082988434332","134.31082988434332","134.31082988434332"
"2","6.645768417373372","6.645768417373372","6.645768417373372","4.570435629036252","4.570435629036252","4.570435629036252","5.543809653966233","5.543809653966233","5.543809653966233","58.79958671463137","58.79958671463137","58.79958671463137","60.194363083710435","60.194363083710435","60.194363083710435","56.31591099211254","56.31591099211254","56.31591099211254","3.66010449812349","3.66010449812349","3.66010449812349","2.9011702958975385","2.9011702958975385","2.9011702958975385","2.941197255628387","2.941197255628387","2.941197255628387","130.82608736886823","130.82608736886823","130.82608736886823","131.3671466330333","131.3671466330333","131.3671466330333","134.06439716517494","134.06439716517494","134.06439716517494"
"3","5.939681268763711","5.939681268763711","5.939681268763711","4.028833374008505","4.028833374008505","4.028833374008505","4.866013576221686","4.866013576221686","4.866013576221686","56.5708581415172","56.5708581415172","56.5708581415172","56.31650942707949","56.31650942707949","56.31650942707949","54.412245845924886","54.412245845924886","54.412245845924886","2.5581552830864642","2.5581552830864642","2.5581552830864642","2.308250384964891","2.308250384964891","2.308250384964891","2.322236321873506","2.322236321873506","2.322236321873506","128.4737413769564","128.4737413769564","128.4737413769564","125.87847712898694","125.87847712898694","125.87847712898694","125.76745571013105","125.76745571013105","125.76745571013105"
"4","5.338789721735204","5.338789721735204","5.338789721735204","3.6069352306474527","3.6069352306474527","3.6069352306474527","4.3380092294694865","4.3380092294694865","4.3380092294694865","53.727773362779104","53.727773362779104","53.727773362779104","52.106726481204696","52.106726481204696","52.106726481204696","52.46940785130194","52.46940785130194","52.46940785130194","1.965273942330132","1.965273942330132","1.965273942330132","1.8427776793732111","1.8427776793732111","1.8427776793732111","1.7939497220230363","1.7939497220230363","1.7939497220230363","123.99561739793887","123.99561739793887","123.99561739793887","118.17341972404458","118.17341972404458","118.17341972404458","118.20265559733488","118.20265559733488","118.20265559733488"
"5","4.702516772232524","4.702516772232524","4.702516772232524","3.280691574764024","3.280691574764024","3.280691574764024","4.089678155973061","4.089678155973061","4.089678155973061","52.07507422584978","52.07507422584978","52.07507422584978","50.00051769240642","50.00051769240642","50.00051769240642","50.635446600727235","50.635446600727235","50.635446600727235","1.79528913544514","1.79528913544514","1.79528913544514","1.490528126271148","1.490528126271148","1.490528126271148","1.4939803804428833","1.4939803804428833","1.4939803804428833","120.76563843717265","120.76563843717265","120.76563843717265","111.00905579610819","111.00905579610819","111.00905579610819","112.68078442752662","112.68078442752662","112.68078442752662"
"6","4.269261634932696","4.269261634932696","4.269261634932696","3.1007328897890085","3.1007328897890085","3.1007328897890085","3.760186250888912","3.760186250888912","3.760186250888912","51.19957822880166","51.19957822880166","51.19957822880166","49.10530606529922","49.10530606529922","49.10530606529922","50.00193267841471","50.00193267841471","50.00193267841471","1.7356008021322287","1.7356008021322287","1.7356008021322287","1.2998953762594796","1.2998953762594796","1.2998953762594796","1.3264810137602643","1.3264810137602643","1.3264810137602643","117.82868362065112","117.82868362065112","117.82868362065112","105.74567552226854","105.74567552226854","105.74567552226854","109.16774343351769","109.16774343351769","109.16774343351769"
"7","3.923746734554933","3.923746734554933","3.923746734554933","3.0085627066874445","3.0085627066874445","3.0085627066874445","3.5896831483694056","3.5896831483694056","3.5896831483694056","50.28000437823749","50.28000437823749","50.28000437823749","49.11307062941186","49.11307062941186","49.11307062941186","49.61736750958753","49.61736750958753","49.61736750958753","1.6805607362232555","1.6805607362232555","1.6805607362232555","1.177489082264365","1.177489082264365","1.177489082264365","1.219892899929455","1.219892899929455","1.219892899929455","114.69561933268763","114.69561933268763","114.69561933268763","106.12863225946656","106.12863225946656","106.12863225946656","107.96277380229691","107.96277380229691","107.96277380229691"
"8","3.7075967037267823","3.7075967037267823","3.7075967037267823","2.9592018524975243","2.9592018524975243","2.9592018524975243","3.2766031685090327","3.2766031685090327","3.2766031685090327","49.02951487547627","49.02951487547627","49.02951487547627","48.06761614577906","48.06761614577906","48.06761614577906","48.76696656116275","48.76696656116275","48.76696656116275","1.6043788305127649","1.6043788305127649","1.6043788305127649","1.0808688728808746","1.0808688728808746","1.0808688728808746","1.1205964874352536","1.1205964874352536","1.1205964874352536","113.18935117535202","113.18935117535202","113.18935117535202","103.62288961036995","103.62288961036995","103.62288961036995","104.72859229780279","104.72859229780279","104.72859229780279"
"9","3.6653216344136936","3.6653216344136936","3.6653216344136936","2.8249862565732022","2.8249862565732022","2.8249862565732022","3.135407083402143","3.135407083402143","3.135407083402143","48.41793466240933","48.41793466240933","48.41793466240933","47.052529958767614","47.052529958767614","47.052529958767614","48.011605326536724","48.011605326536724","48.011605326536724","1.5120331030807883","1.5120331030807883","1.5120331030807883","0.98392557207508","0.98392557207508","0.98392557207508","1.0075302610234378","1.0075302610234378","1.0075302610234378","109.01393633342886","109.01393633342886","109.01393633342886","100.18435901482262","100.18435901482262","100.18435901482262","103.7726543059334","103.7726543059334","103.7726543059334"
"10","3.4410504985815917","3.4410504985815917","3.4410504985815917","2.6690215864643543","2.6690215864643543","2.6690215864643543","2.939246574388306","2.939246574388306","2.939246574388306","48.19703098730541","48.19703098730541","48.19703098730541","45.87543773738605","45.87543773738605","45.87543773738605","46.86129676967119","46.86129676967119","46.86129676967119","1.4150563370948541","1.4150563370948541","1.4150563370948541","0.9056523127460838","0.9056523127460838","0.9056523127460838","0.9258939412935305","0.9258939412935305","0.9258939412935305","107.77538213315643","107.77538213315643","107.77538213315643","98.7187563491484","98.7187563491484","98.7187563491484","102.08161530241196","102.08161530241196","102.08161530241196"
"11","3.3095698024756834","3.3095698024756834","3.3095698024756834","2.5423608737163184","2.5423608737163184","2.5423608737163184","2.8495055377529144","2.8495055377529144","2.8495055377529144","46.845041641959945","46.845041641959945","46.845041641959945","45.081127296119476","45.081127296119476","45.081127296119476","45.63039136494434","45.63039136494434","45.63039136494434","1.3139452525389175","1.3139452525389175","1.3139452525389175","0.8424508827305743","0.8424508827305743","0.8424508827305743","0.8433366141477759","0.8433366141477759","0.8433366141477759","103.96173825114647","103.96173825114647","103.96173825114647","97.89145433085903","97.89145433085903","97.89145433085903","98.75354794046457","98.75354794046457","98.75354794046457"
"12","3.2209671059762752","3.2209671059762752","3.2209671059762752","2.420277962755634","2.420277962755634","2.420277962755634","2.721840430645215","2.721840430645215","2.721840430645215","46.14212451606534","46.14212451606534","46.14212451606534","43.77101403522109","43.77101403522109","43.77101403522109","45.206819992543934","45.206819992543934","45.206819992543934","1.237824210332048","1.237824210332048","1.237824210332048","0.7871678225166491","0.7871678225166491","0.7871678225166491","0.776256917673773","0.776256917673773","0.776256917673773","101.94412378113734","101.94412378113734","101.94412378113734","92.0579964411687","92.0579964411687","92.0579964411687","95.81906001573334","95.81906001573334","95.81906001573334"
"13","3.0772538700194496","3.0772538700194496","3.0772538700194496","2.3085907047234744","2.3085907047234744","2.3085907047234744","2.584885883569331","2.584885883569331","2.584885883569331","45.08020243944594","45.08020243944594","45.08020243944594","43.01942310346273","43.01942310346273","43.01942310346273","44.269279542784304","44.269279542784304","44.269279542784304","1.1560910155732678","1.1560910155732678","1.1560910155732678","0.7307811906917763","0.7307811906917763","0.7307811906917763","0.7085211747706226","0.7085211747706226","0.7085211747706226","99.5050558292761","99.5050558292761","99.5050558292761","92.44167843661685","92.44167843661685","92.44167843661685","94.0007837754344","94.0007837754344","94.0007837754344"
"14","2.8090835948356214","2.8090835948356214","2.8090835948356214","2.2535684546448587","2.2535684546448587","2.2535684546448587","2.391756715518906","2.391756715518906","2.391756715518906","43.873759269795734","43.873759269795734","43.873759269795734","42.01265392643018","42.01265392643018","42.01265392643018","43.52918677562353","43.52918677562353","43.52918677562353","1.082741701559195","1.082741701559195","1.082741701559195","0.673656802208353","0.673656802208353","0.673656802208353","0.6549544435041188","0.6549544435041188","0.6549544435041188","96.48331283804845","96.48331283804845","96.48331283804845","88.71163680529226","88.71163680529226","88.71163680529226","90.92686956672806","90.92686956672806","90.92686956672806"
"15","2.7449091636429612","2.7449091636429612","2.7449091636429612","2.06223658983776","2.06223658983776","2.06223658983776","2.327557792147533","2.327557792147533","2.327557792147533","42.3740159616463","42.3740159616463","42.3740159616463","41.0200280479547","41.0200280479547","41.0200280479547","41.223626244016266","41.223626244016266","41.223626244016266","1.0118734120396953","1.0118734120396953","1.0118734120396953","0.617951618365251","0.617951618365251","0.617951618365251","0.5988190368190439","0.5988190368190439","0.5988190368190439","95.47407527832115","95.47407527832115","95.47407527832115","87.06477370206402","87.06477370206402","87.06477370206402","89.34463789333041","89.34463789333041","89.34463789333041"
"16","2.6932657152549107","2.6932657152549107","2.6932657152549107","1.8864458347431923","1.8864458347431923","1.8864458347431923","2.122341295287658","2.122341295287658","2.122341295287658","41.33079219328298","41.33079219328298","41.33079219328298","39.04291970838265","39.04291970838265","39.04291970838265","40.735620014943585","40.735620014943585","40.735620014943585","0.9380650272171228","0.9380650272171228","0.9380650272171228","0.570402991663363","0.570402991663363","0.570402991663363","0.5527272392549107","0.5527272392549107","0.5527272392549107","91.5599338497478","91.5599338497478","91.5599338497478","84.82550716430663","84.82550716430663","84.82550716430663","85.83821727155531","85.83821727155531","85.83821727155531"
"17","2.4480306071697604","2.4480306071697604","2.4480306071697604","1.823795502551923","1.823795502551923","1.823795502551923","2.007386333180609","2.007386333180609","2.007386333180609","39.91220940488914","39.91220940488914","39.91220940488914","39.147251576823535","39.147251576823535","39.147251576823535","39.1360676910438","39.1360676910438","39.1360676910438","0.867220289451452","0.867220289451452","0.867220289451452","0.5169208306955573","0.5169208306955573","0.5169208306955573","0.5042601675914105","0.5042601675914105","0.5042601675914105","87.79072873188943","87.79072873188943","87.79072873188943","80.8989237282746","80.8989237282746","80.8989237282746","83.05784949435238","83.05784949435238","83.05784949435238"
"18","2.3096663039621106","2.3096663039621106","2.3096663039621106","1.6235853099779256","1.6235853099779256","1.6235853099779256","1.8245134607080775","1.8245134607080775","1.8245134607080775","38.54733209030571","38.54733209030571","38.54733209030571","37.46179274505026","37.46179274505026","37.46179274505026","37.57710734913298","37.57710734913298","37.57710734913298","0.7946266152771456","0.7946266152771456","0.7946266152771456","0.46866053235882815","0.46866053235882815","0.46866053235882815","0.4632182561216506","0.4632182561216506","0.4632182561216506","87.33112978473419","87.33112978473419","87.33112978473419","78.18907995803414","78.18907995803414","78.18907995803414","79.18251297801253","79.18251297801253","79.18251297801253"
"19","2.0692032673617495","2.0692032673617495","2.0692032673617495","1.481964298262105","1.481964298262105","1.481964298262105","1.6507055186372903","1.6507055186372903","1.6507055186372903","37.19860822183604","37.19860822183604","37.19860822183604","35.277694277220576","35.277694277220576","35.277694277220576","35.54524042510938","35.54524042510938","35.54524042510938","0.7266599685754759","0.7266599685754759","0.7266599685754759","0.42309117642713595","0.42309117642713595","0.42309117642713595","0.4192814761620962","0.4192814761620962","0.4192814761620962","81.83938173967393","81.83938173967393","81.83938173967393","73.72742609294549","73.72742609294549","73.72742609294549","75.0801138400177","75.0801138400177","75.0801138400177"
"20","1.902644343883351","1.902644343883351","1.902644343883351","1.3574779569054944","1.3574779569054944","1.3574779569054944","1.5214434832293828","1.5214434832293828","1.5214434832293828","35.24698556213109","35.24698556213109","35.24698556213109","33.004220124997524","33.004220124997524","33.004220124997524","34.13219246019814","34.13219246019814","34.13219246019814","0.6572145927388754","0.6572145927388754","0.6572145927388754","0.3806563923358714","0.3806563923358714","0.3806563923358714","0.37789046023321066","0.37789046023321066","0.37789046023321066","76.60840084974102","76.60840084974102","76.60840084974102","68.92186249206777","68.92186249206777","68.92186249206777","69.66148290169077","69.66148290169077","69.66148290169077"
"21","1.7410783515198054","1.7410783515198054","1.7410783515198054","1.20593099395273","1.20593099395273","1.20593099395273","1.3643344875750296","1.3643344875750296","1.3643344875750296","33.807399106103006","33.807399106103006","33.807399106103006","30.92095591787165","30.92095591787165","30.92095591787165","31.769011781243947","31.769011781243947","31.769011781243947","0.587777971214316","0.587777971214316","0.587777971214316","0.34021279676363975","0.34021279676363975","0.34021279676363975","0.3429380457615301","0.3429380457615301","0.3429380457615301","70.82994593962822","70.82994593962822","70.82994593962822","63.59280990329514","63.59280990329514","63.59280990329514","65.03201486291469","65.03201486291469","65.03201486291469"
"22","1.5251142772500939","1.5251142772500939","1.5251142772500939","0.9940281590358299","0.9940281590358299","0.9940281590358299","1.1277056326993506","1.1277056326993506","1.1277056326993506","30.953125856711868","30.953125856711868","30.953125856711868","28.40966852965112","28.40966852965112","28.40966852965112","29.678105971961514","29.678105971961514","29.678105971961514","0.5332827628706592","0.5332827628706592","0.5332827628706592","0.30066490595999285","0.30066490595999285","0.30066490595999285","0.3103617310577391","0.3103617310577391","0.3103617310577391","64.27579865051584","64.27579865051584","64.27579865051584","58.475439279190724","58.475439279190724","58.475439279190724","59.17227160488138","59.17227160488138","59.17227160488138"
"23","1.3402135553254397","1.3402135553254397","1.3402135553254397","0.8677940241905373","0.8677940241905373","0.8677940241905373","0.9471237723222008","0.9471237723222008","0.9471237723222008","28.515569833299693","28.515569833299693","28.515569833299693","26.435866269939986","26.435866269939986","26.435866269939986","26.667627028489605","26.667627028489605","26.667627028489605","0.4750089170949249","0.4750089170949249","0.4750089170949249","0.2702365680157055","0.2702365680157055","0.2702365680157055","0.28085427678951747","0.28085427678951747","0.28085427678951747","57.925368429623894","57.925368429623894","57.925368429623894","54.00427430232888","54.00427430232888","54.00427430232888","53.039009339919886","53.039009339919886","53.039009339919886"
"24","1.143123681634367","1.143123681634367","1.143123681634367","0.7402713017978301","0.7402713017978301","0.7402713017978301","0.8122936462339295","0.8122936462339295","0.8122936462339295","24.64277943926812","24.64277943926812","24.64277943926812","23.180331281849078","23.180331281849078","23.180331281849078","23.552196623349477","23.552196623349477","23.552196623349477","0.4273477829512765","0.4273477829512765","0.4273477829512765","0.2396901062193742","0.2396901062193742","0.2396901062193742","0.2538263146694085","0.2538263146694085","0.2538263146694085","50.64354689951917","50.64354689951917","50.64354689951917","45.57340448518511","45.57340448518511","45.57340448518511","44.925532944404445","44.925532944404445","44.925532944404445"
"25","0.9602634482914112","0.9602634482914112","0.9602634482914112","0.5780057640119526","0.5780057640119526","0.5780057640119526","0.6400010062025435","0.6400010062025435","0.6400010062025435","21.312922776543918","21.312922776543918","21.312922776543918","20.245280750661042","20.245280750661042","20.245280750661042","20.107645522755703","20.107645522755703","20.107645522755703","0.38792251267523903","0.38792251267523903","0.38792251267523903","0.21549585771999094","0.21549585771999094","0.21549585771999094","0.23238034167202457","0.23238034167202457","0.23238034167202457","41.993190086257165","41.993190086257165","41.993190086257165","38.60715418088171","38.60715418088171","38.60715418088171","39.130971610642746","39.130971610642746","39.130971610642746"
"26","0.8282175871869975","0.8282175871869975","0.8282175871869975","0.4650308672443308","0.4650308672443308","0.4650308672443308","0.507389776208405","0.507389776208405","0.507389776208405","18.04575637193739","18.04575637193739","18.04575637193739","17.592827684389608","17.592827684389608","17.592827684389608","17.09112918405405","17.09112918405405","17.09112918405405","0.35443650943771726","0.35443650943771726","0.35443650943771726","0.19635218941867327","0.19635218941867327","0.19635218941867327","0.21487689899552936","0.21487689899552936","0.21487689899552936","35.9757836871469","35.9757836871469","35.9757836871469","32.314269266373486","32.314269266373486","32.314269266373486","31.857047662524216","31.857047662524216","31.857047662524216"
"27","0.7135799947742391","0.7135799947742391","0.7135799947742391","0.38199185232058636","0.38199185232058636","0.38199185232058636","0.418695300747555","0.418695300747555","0.418695300747555","15.024632222895146","15.024632222895146","15.024632222895146","15.405660108007742","15.405660108007742","15.405660108007742","14.577001250779958","14.577001250779958","14.577001250779958","0.3294255419407233","0.3294255419407233","0.3294255419407233","0.18190380505316595","0.18190380505316595","0.18190380505316595","0.2018247261504812","0.2018247261504812","0.2018247261504812","28.852106582285327","28.852106582285327","28.852106582285327","26.533714029933215","26.533714029933215","26.533714029933215","26.27898348065425","26.27898348065425","26.27898348065425"
"28","0.6494491165134318","0.6494491165134318","0.6494491165134318","0.32885280865656147","0.32885280865656147","0.32885280865656147","0.35515878609000073","0.35515878609000073","0.35515878609000073","12.858521373160658","12.858521373160658","12.858521373160658","13.948832596830464","13.948832596830464","13.948832596830464","12.840246703154968","12.840246703154968","12.840246703154968","0.3128605474052662","0.3128605474052662","0.3128605474052662","0.1724271632350135","0.1724271632350135","0.1724271632350135","0.19315015285767248","0.19315015285767248","0.19315015285767248","24.098018319912562","24.098018319912562","24.098018319912562","23.06628466842626","23.06628466842626","23.06628466842626","22.239868951511113","22.239868951511113","22.239868951511113"
"29","0.6188688701340868","0.6188688701340868","0.6188688701340868","0.30469728075015545","0.30469728075015545","0.30469728075015545","0.3291532950313214","0.3291532950313214","0.3291532950313214","11.953384282595266","11.953384282595266","11.953384282595266","13.27437725277909","13.27437725277909","13.27437725277909","12.149349251555567","12.149349251555567","12.149349251555567","0.3039975495458575","0.3039975495458575","0.3039975495458575","0.16768796015023799","0.16768796015023799","0.16768796015023799","0.18889737117258962","0.18889737117258962","0.18889737117258962","22.26325575499132","22.26325575499132","22.26325575499132","21.45295589440552","21.45295589440552","21.45295589440552","20.25346551267795","20.25346551267795","20.25346551267795"