"Step","Train-r1 - train_loss","Train-r1 - train_loss__MIN","Train-r1 - train_loss__MAX","Train-charge - train_loss","Train-charge - train_loss__MIN","Train-charge - train_loss__MAX","Train-spring - train_loss","Train-spring - train_loss__MIN","Train-spring - train_loss__MAX","Train-r2 - train_loss","Train-r2 - train_loss__MIN","Train-r2 - train_loss__MAX"
"0","3.1559396555362906","3.1559396555362906","3.1559396555362906","9.87034557108607","9.87034557108607","9.87034557108607","2.9397076864028526","2.9397076864028526","2.9397076864028526","21.920899634251814","21.920899634251814","21.920899634251814"
"1","3.071357255635464","3.071357255635464","3.071357255635464","9.848919550330272","9.848919550330272","9.848919550330272","2.6657622937649954","2.6657622937649954","2.6657622937649954","21.872074724189737","21.872074724189737","21.872074724189737"
"2","2.989683280697922","2.989683280697922","2.989683280697922","9.830785309081294","9.830785309081294","9.830785309081294","2.5263210745921403","2.5263210745921403","2.5263210745921403","20.179238221986942","20.179238221986942","20.179238221986942"
"3","2.9666020895741236","2.9666020895741236","2.9666020895741236","9.797175591050364","9.797175591050364","9.797175591050364","2.3031004571153786","2.3031004571153786","2.3031004571153786","19.095705509735097","19.095705509735097","19.095705509735097"
"4","2.857014901026268","2.857014901026268","2.857014901026268","9.772761348449631","9.772761348449631","9.772761348449631","2.264607807832912","2.264607807832912","2.264607807832912","18.90341509280631","18.90341509280631","18.90341509280631"
"5","2.7798338236484486","2.7798338236484486","2.7798338236484486","9.702489914976702","9.702489914976702","9.702489914976702","2.2400876397982383","2.2400876397982383","2.2400876397982383","18.63696367897895","18.63696367897895","18.63696367897895"
"6","2.7587244529978023","2.7587244529978023","2.7587244529978023","9.207432196514427","9.207432196514427","9.207432196514427","2.2248398218253373","2.2248398218253373","2.2248398218253373","17.970676073310663","17.970676073310663","17.970676073310663"
"7","2.7439970718897775","2.7439970718897775","2.7439970718897775","8.99782858427723","8.99782858427723","8.99782858427723","2.2145499379086164","2.2145499379086164","2.2145499379086164","17.72975577247337","17.72975577247337","17.72975577247337"
"8","2.7288656313474884","2.7288656313474884","2.7288656313474884","8.830854939604713","8.830854939604713","8.830854939604713","2.2045566213549033","2.2045566213549033","2.2045566213549033","17.313528278132573","17.313528278132573","17.313528278132573"
"9","2.716395251935472","2.716395251935472","2.716395251935472","8.709789107669609","8.709789107669609","8.709789107669609","2.1936049455769977","2.1936049455769977","2.1936049455769977","16.998158811556518","16.998158811556518","16.998158811556518"
"10","2.697701092943904","2.697701092943904","2.697701092943904","8.53505076445739","8.53505076445739","8.53505076445739","2.182629705950388","2.182629705950388","2.182629705950388","16.768390647806967","16.768390647806967","16.768390647806967"
"11","2.6850042538854875","2.6850042538854875","2.6850042538854875","8.475780043395288","8.475780043395288","8.475780043395288","2.1746668241182503","2.1746668241182503","2.1746668241182503","16.683772477062806","16.683772477062806","16.683772477062806"
"12","2.674068913299869","2.674068913299869","2.674068913299869","8.394149288737292","8.394149288737292","8.394149288737292","2.1681337887155023","2.1681337887155023","2.1681337887155023","16.356673604423392","16.356673604423392","16.356673604423392"
"13","2.6578506032541065","2.6578506032541065","2.6578506032541065","8.281237282263906","8.281237282263906","8.281237282263906","2.1620315999054585","2.1620315999054585","2.1620315999054585","16.341703196558207","16.341703196558207","16.341703196558207"
"14","2.6486159797536297","2.6486159797536297","2.6486159797536297","8.250023508969097","8.250023508969097","8.250023508969097","2.154291274136819","2.154291274136819","2.154291274136819","15.766256667452977","15.766256667452977","15.766256667452977"
"15","2.632360866659991","2.632360866659991","2.632360866659991","8.010461247631568","8.010461247631568","8.010461247631568","2.1466597659014752","2.1466597659014752","2.1466597659014752","15.338587975805149","15.338587975805149","15.338587975805149"
"16","2.61800306640252","2.61800306640252","2.61800306640252","7.875370117134685","7.875370117134685","7.875370117134685","2.1410762367115073","2.1410762367115073","2.1410762367115073","14.872036553861461","14.872036553861461","14.872036553861461"
"17","2.606118065290193","2.606118065290193","2.606118065290193","7.742324673475407","7.742324673475407","7.742324673475407","2.1341677675150352","2.1341677675150352","2.1341677675150352","14.595374141621177","14.595374141621177","14.595374141621177"
"18","2.5941535088987275","2.5941535088987275","2.5941535088987275","7.528217306864608","7.528217306864608","7.528217306864608","2.127564481078017","2.127564481078017","2.127564481078017","14.076575646151026","14.076575646151026","14.076575646151026"
"19","2.576343090555165","2.576343090555165","2.576343090555165","7.395243610179366","7.395243610179366","7.395243610179366","2.12278827699096","2.12278827699096","2.12278827699096","13.425816311446846","13.425816311446846","13.425816311446846"
"20","2.5614761465065143","2.5614761465065143","2.5614761465065143","7.1993777916408845","7.1993777916408845","7.1993777916408845","2.11592031950348","2.11592031950348","2.11592031950348","12.855759526470923","12.855759526470923","12.855759526470923"
"21","2.5464622945811564","2.5464622945811564","2.5464622945811564","7.051847640438","7.051847640438","7.051847640438","2.110042564504148","2.110042564504148","2.110042564504148","12.047462083605922","12.047462083605922","12.047462083605922"
"22","2.527107567202873","2.527107567202873","2.527107567202873","6.74861141348345","6.74861141348345","6.74861141348345","2.104808134037395","2.104808134037395","2.104808134037395","11.5600177790893","11.5600177790893","11.5600177790893"
"23","2.5079941946508657","2.5079941946508657","2.5079941946508657","6.412494375321409","6.412494375321409","6.412494375321409","2.1003743390477916","2.1003743390477916","2.1003743390477916","10.869203209887187","10.869203209887187","10.869203209887187"
"24","2.4972796154180905","2.4972796154180905","2.4972796154180905","6.151852429009754","6.151852429009754","6.151852429009754","2.0962252629190816","2.0962252629190816","2.0962252629190816","10.03106049800023","10.03106049800023","10.03106049800023"
"25","2.4790616452729544","2.4790616452729544","2.4790616452729544","5.830792320762359","5.830792320762359","5.830792320762359","2.0923603049459003","2.0923603049459003","2.0923603049459003","9.142890786664845","9.142890786664845","9.142890786664845"
"26","2.466868674269877","2.466868674269877","2.466868674269877","5.4686004837805","5.4686004837805","5.4686004837805","2.08934431606434","2.08934431606434","2.08934431606434","8.383469823155654","8.383469823155654","8.383469823155654"
"27","2.456638634260812","2.456638634260812","2.456638634260812","5.205523832613967","5.205523832613967","5.205523832613967","2.086183227444175","2.086183227444175","2.086183227444175","7.613647549233143","7.613647549233143","7.613647549233143"
"28","2.4530737559760185","2.4530737559760185","2.4530737559760185","5.006489392494278","5.006489392494278","5.006489392494278","2.085989648911904","2.085989648911904","2.085989648911904","7.179911263394512","7.179911263394512","7.179911263394512"
"29","2.449426434218899","2.449426434218899","2.449426434218899","4.918682304184656","4.918682304184656","4.918682304184656","2.084925661336054","2.084925661336054","2.084925661336054","6.964404737820183","6.964404737820183","6.964404737820183"